type,title,release_year,rating,listed_in,description,service
Movie,Mickey's Tale of Two Witches,2021,TV-Y,"Animation, Family, Fantasy",Mickey tells a tale of two witches-in-training!,disney plus
Movie,Muppets Haunted Mansion,2021,TV-PG,"Comedy, Family, Musical",Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.,disney plus
Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,2021,TV-PG,"Family, Variety",Celebrating 50 years of the Walt Disney World Resort.,disney plus
Movie,Under Wraps,2021,TV-G,"Action-Adventure, Comedy, Kids",Three friends revive a mummy in a neighbor's basement.,disney plus
TV Show,Among the Stars,2021,TV-PG,Docuseries,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.,disney plus
Movie,Black Widow,2021,PG-13,"Action-Adventure, Science Fiction, Spy/Espionage",Natasha confronts her history as a spy and the broken relationships left in her wake.,disney plus
TV Show,Drain the Oceans,2017,TV-PG,"Docuseries, Historical",Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,disney plus
TV Show,Drain The Oceans: The Mississippi River & Arctic War,2021,TV-14,"Docuseries, Historical",Drain the Oceans takes underwater archaeology into a whole new era.,disney plus
Movie,Fauci,2021,PG-13,"Biographical, Documentary","""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci.",disney plus
TV Show,IMPACT with Gal Gadot,2021,TV-14,Docuseries,National Geographic Presents IMPACT with Gal Gadot honors impactful women.,disney plus
TV Show,The Ghost and Molly McGee,2021,TV-Y7,"Animation, Buddy, Coming of Age",A grumpy ghost and cheerful tween are eternally bound.,disney plus
Movie,Alvin and the Chipmunks,2007,PG,"Animation, Comedy, Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",disney plus
Movie,Alvin and the Chipmunks: The Road Chip,2015,PG,"Comedy, Family, Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",disney plus
Movie,LEGO Star Wars Terrifying Tales,2021,TV-Y7-FV,"Action-Adventure, Animation, Science Fiction",Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle.,disney plus
Movie,Maleficent,2014,PG,"Action-Adventure, Family, Fantasy","Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora.",disney plus
Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,2017,TV-G,"Animation, Family, Parody",Mickey tells a scary story on Halloween.,disney plus
TV Show,Disney Vampirina,2017,TV-Y7,"Animation, Fantasy, Kids",Vampirina is the new girl in town!,disney plus
TV Show,Disney's Magic Bake-Off,2021,TV-G,"Family, Game Show / Competition",Kid bakers compete to be named Disney Baking Champion.,disney plus
TV Show,Great Barrier Reef,2020,TV-PG,"Animals & Nature, Docuseries",Explore the complex Great Barrier Reef along with the wildlife that inhabit it.,disney plus
TV Show,Ready for Preschool,2019,TV-Y,"Kids, Music",The love of learning begins with Disney Junior!,disney plus
TV Show,Rolie Polie Olie,1998,TV-Y,"Animation, Science Fiction",Rolie Polie Olie’s life and adventures center on his Robo-family.,disney plus
TV Show,Star Wars Galaxy of Sounds,2021,TV-PG,"Animation, Anthology, Science Fiction","""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",disney plus
TV Show,The Hatcher Family Dairy,2021,TV-14,"Animals & Nature, Docuseries, Reality","The Hatcher Family enjoys a nonstop circus of animals, farming and family.",disney plus
TV Show,The Simpsons,1989,TV-PG,"Animation, Comedy","The world’s favorite nuclear family, in the award-winning, history-making series.",disney plus
Movie,A Spark Story,2021,TV-PG,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,disney plus
Movie,Spooky Buddies,2011,G,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,disney plus
Movie,The Fault in Our Stars,2014,PG-13,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,disney plus
TV Show,Dog: Impossible,2019,TV-PG,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,disney plus
TV Show,Spidey And His Amazing Friends,2021,TV-Y,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,disney plus
TV Show,Star Wars: Visions,2021,TV-PG,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,disney plus
Movie,Confessions of a Shopaholic,2009,PG,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,disney plus
Movie,Descendants: Royal Wedding,2021,TV-G,"Animation, Fantasy, Musical",Mal and Ben’s wedding is finally here!,disney plus
Movie,Disney's Broadway Hits at London's Royal Albert Hall,2016,TV-G,"Concert Film, Music",Experience the magic of Disney on Broadway in an unforgettable night of music.,disney plus
Movie,Flooded Tombs of the Nile,2021,TV-PG,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,disney plus
