type,title,release_year,rating,listed_in,description,service
Movie,Forky Asks a Question: What is Art?,2019,TV-G,"Animation, Comedy, Family",Mr. Pricklepants tells Forky about the complexities of being an actor and the art of performance.,disney plus
TV Show,Mickey Mouse Roadster Racers,2017,TV-Y,"Animation, Kids, Sports",The Sensational Six race roadsters around the world!,disney plus
Movie,"Happy Birthday, Mickey!",2019,TV-G,"Animation, Comedy, Dance","Celebrating Mickey, the world’s most beloved character.",disney plus
Movie,Forky Asks a Question: What is a Friend?,2019,TV-G,"Animation, Comedy, Family",Forky shares his thoughts on what makes a good friend based on his limited exposure to the world.,disney plus
Movie,10 Things I Hate About You,1999,PG-13,"Comedy, Coming of Age, Romance","Cameron falls for the girl of his dreams, but she is forbidden to date.",disney plus
Movie,101 Dalmatians,1961,G,"Action-Adventure, Animation, Family",Cruella De Vil dognaps all of the Dalmatian puppies in London.,disney plus
Movie,101 Dalmatians II: Patch's London Adventure,2003,G,"Action-Adventure, Animation",Pongo and Perdita's pup Patch gets the chance to meet his TV hero.,disney plus
Movie,102 Dalmatians,2000,G,"Action-Adventure, Animals & Nature, Family","Oddball, the spotless Dalmatian puppy, heads out in search of his spots.",disney plus
Movie,12 Dates of Christmas,2011,TV-PG,"Comedy, Family, Fantasy","Setup on a Christmas Eve date, a woman must relive the date over and over.",disney plus
Movie,"20,000 Leagues Under the Sea",1954,G,"Action-Adventure, Family, Science Fiction",Climb aboard the Nautilus and into an undersea world of adventure! See details for advisory.,disney plus
Movie,A Bug's Life,1998,G,"Animation, Comedy, Family",Flik goes in search of warriors to help battle the villainous grasshoppers.,disney plus
Movie,A Goofy Movie,1995,G,"Action-Adventure, Animation, Comedy",Goofy and Max hit the road and get up to their floppy ears in misadventure.,disney plus
Movie,A Kid in King Arthur's Court,1995,PG,"Action-Adventure, Comedy, Coming of Age",A mysterious earthquake sends a teenage boy back into medieval times.,disney plus
Movie,A Knight for a Day,1946,TV-G,"Animation, Comedy, Family","Goofy jousts for the hand of Penelope, as well as the championship. See details for advisory.",disney plus
Movie,A Ring of Endless Light,2002,TV-G,"Coming of Age, Drama, Romance",Teenager Vicky Austin discovers that she can communicate with dolphins.,disney plus
Movie,Aladdin (1992),1992,G,"Action-Adventure, Animation, Family","Aladdin, Princess Jasmine and Genie join forces to stop evil Jafar.",disney plus
Movie,Aladdin and the King of Thieves,1996,G,"Action-Adventure, Animation, Family",Aladdin and Jasmine plan their wedding…but will the Forty Thieves ruin it?,disney plus
Movie,Aladdin: The Return of Jafar,1994,G,"Action-Adventure, Animation, Family",Aladdin and his friends defend Agrabah from Jafar's malice.,disney plus
Movie,Alice in Wonderland,1951,G,"Action-Adventure, Animation, Family",Join Alice as she chases the White Rabbit into a topsy-turvy world.,disney plus
Movie,Aliens of the Deep,2005,G,"Action-Adventure, Animals & Nature, Documentary",James Cameron teams up with NASA scientists to explore undersea life.,disney plus
Movie,Alley Cats Strike!,2000,TV-G,"Coming of Age, Drama, Sports",Four outcast teens with a love of bowling are thrust into the spotlight.,disney plus
Movie,Almost Angels,1962,TV-PG,"Coming of Age, Drama, Family",A working-class youth tries to fit in when with the famed Vienna Boys' Choir.,disney plus
Movie,America's Heart & Soul,2004,PG,"Documentary, Family",Journey across the U.S. to meet ordinary people living extraordinary lives.,disney plus
Movie,Amy,1981,G,"Drama, Family",A young woman takes a job as a teacher in a backwoods school for the deaf.,disney plus
Movie,An Extremely Goofy Movie,2000,G,"Animation, Comedy, Family",Goofy shows up to finish college alongside his son Max.,disney plus
TV Show,Andi Mack,2016,TV-G,"Comedy, Coming of Age, Drama","Andi's life is shaken by her sister, Bex's, surprise.",disney plus
Movie,Annie,1999,TV-PG,"Drama, Family, Musical",Annie escapes a “hard-knock life” and finds a bighearted billionaire.,disney plus
Movie,Apollo: Missions To The Moon,2019,TV-PG,"Documentary, Family, Historical","With rare archival footage, this film sheds new light on an incredible time in human history.",disney plus
Movie,Atlantis Rising,2017,TV-PG,"Documentary, Historical",Filmmakers go in search of Atlantis using Plato's writings as a guide to lead the way.,disney plus
Movie,Atlantis: Milo's Return,2003,G,"Action-Adventure, Animation, Family",Explorers emerge from below the sea to solve threatening mysteries above.,disney plus
Movie,Atlantis: The Lost Empire,2001,PG,"Action-Adventure, Animation, Family",Brave explorers venture under the sea seeking legendary Atlantis.,disney plus
Movie,Auntie Edna,2018,TV-G,"Animation, Comedy, Family",Has famous fashionista Edna Mode met her match in Jack-Jack?,disney plus
Movie,Avatar,2009,PG-13,"Action-Adventure, Science Fiction",A man embarks on an adventure to an exotic world that he learns to call home & fights to protect.,disney plus
Movie,Babes in the Woods,1932,TV-Y7,"Animation, Family, Fantasy",Two children wander the forest and get lured into a witch's house. See details for advisory.,disney plus
Movie,Babes in Toyland,1961,TV-PG,"Family, Fantasy, Musical",Villainous Barnaby tries to spoil Tom Piper and Mary Contrary's wedding.,disney plus
Movie,Bambi,1942,G,"Animation, Drama, Family",Bambi sets off with his best friends to explore the wonders of the woods.,disney plus
Movie,Bambi II,2006,G,"Animation, Drama, Kids","Bambi reunites with his father, The Great Prince.",disney plus
Movie,Bao,2018,G,"Animation, Family, Fantasy",A Chinese mom’s life changes when her dumpling comes alive.,disney plus
Movie,Beach Picnic,1939,TV-G,"Animation, Comedy, Family",Donald Duck and Pluto are at the beach. See details for advisory.,disney plus
Movie,Bearly Asleep,1955,TV-PG,"Animation, Comedy, Family",Donald Duck is a ranger and puts the bears to sleep for the winter. See details for advisory.,disney plus
Movie,Beauty and the Beast: Belle's Magical World,1998,G,"Animation, Anthology, Fantasy","In three short stories, see Belle make a gloomy castle fit for a princess.",disney plus
Movie,Beauty and the Beast: The Enchanted Christmas,1997,G,"Animation, Family, Fantasy",Former composer Forte threatens to keep Belle and Beast apart forever.,disney plus
Movie,Beezy Bear,1955,TV-G,"Animation, Comedy, Family",Donald tries to catch the bear that is stealing his honey. See details for advisory.,disney plus
Movie,Before the Flood,2016,TV-14,Documentary,Leonardo DiCaprio searches for answers on the issue of climate change.,disney plus
Movie,Benji the Hunted,1987,G,"Action-Adventure, Animals & Nature, Family",Benji must navigate the wilderness while caring for orphaned cougar cubs.,disney plus
TV Show,Best Friends Whenever,2015,TV-G,"Buddy, Comedy, Coming of Age",Best friends gain the ability to travel through time!,disney plus
TV Show,Big City Greens (Shorts),2017,TV-Y7,"Action-Adventure, Animation, Comedy",Head to the big city with the Green family!,disney plus
Movie,Big Hero 6,2014,PG,"Action-Adventure, Animation, Family",A boy genius and his robot team up to save their city.,disney plus
TV Show,Big Hero 6 The Series (Shorts),2017,TV-Y7,"Action-Adventure, Animation, Comedy",The team introduces Baymax to everyday activities.,disney plus
Movie,Bizarre Dinosaurs,2009,TV-PG,"Animals & Nature, Documentary, Family","Which dinosaurs were the strangest of the strange, and how did they get that way?",disney plus
Movie,Blank Check,1994,PG,"Comedy, Family","An 11-year-old cashes a blank check for a million bucks, with wild results.",disney plus
Movie,Boat Builders,1938,TV-G,"Animation, Comedy, Family",Mickey and friends build a boat but it falls apart when christened. See details for advisory.,disney plus
Movie,Bolt,2008,PG,"Action-Adventure, Animation, Comedy",Hollywood's smallest star embarks on a paws-itively awesome adventure!,disney plus
Movie,Bone Bandit,1948,TV-G,"Animation, Comedy, Family",Pluto's efforts to dig up a bone are frustrated by his allergy. See details for advisory.,disney plus
TV Show,Bonkers,1993,TV-G,"Animation, Comedy, Kids",A washed-up cartoon star begins a new life as the first toon cop in Hollywood.,disney plus
Movie,Boundin',2004,G,"Animation, Family, Kids",The musical story of a dancing sheep.,disney plus
TV Show,Boy Meets World,1993,TV-PG,"Comedy, Coming of Age, Family","Adolescent Cory Matthews grows up, and faces problems with friends, family, and school.",disney plus
Movie,Brave,2012,PG,"Animation, Coming of Age, Family",Princess Merida must undo a beastly curse before it’s too late.,disney plus
Movie,Brave Little Toaster to the Rescue,1999,TV-G,"Action-Adventure, Animation",The gang tries to save their animal pals from being sent to a testing lab.,disney plus
Movie,Breaking2,2017,TV-PG,"Documentary, Sports",Three of the world’s most elite distance runners set out to break the 2-hour marathon barrier.,disney plus
Movie,Brink!,1998,TV-G,"Coming of Age, Drama, Sports",An in-line skater quits his crew to join a corporate-sponsored team.,disney plus
Movie,Brother Bear,2003,G,"Action-Adventure, Animation, Family",A boy transformed into a bear makes an epic journey to become human again.,disney plus
Movie,Brother Bear 2,2006,G,"Action-Adventure, Animation, Family",Bear Kenai is haunted by dreams of his previous life as a human child.,disney plus
Movie,Buffalo Dreams,2005,TV-G,"Buddy, Coming of Age, Drama",Two teenagers are sent on a vision quest by a Navajo elder.,disney plus
TV Show,Bug Juice: My Adventures at Camp,2017,TV-G,"Coming of Age, Docuseries, Family",Camp Waziyatah opens its doors for a fun summer.,disney plus
Movie,BURN-E,2008,TV-G,"Animation, Comedy, Family",BURN-E the welding bot is locked out of the star liner.,disney plus
Movie,Cadet Kelly,2002,TV-G,"Comedy, Coming of Age",An artsy teen goes from fab to drab after enrolling in a military academy.,disney plus
Movie,Camp Nowhere,1994,PG,"Comedy, Coming of Age, Family",An actor and some teenagers create the summer camp of their dreams.,disney plus
Movie,Camp Rock,2008,TV-G,"Coming of Age, Music, Musical",Mitchie gets the chance to spend a summer at a prestigious music camp.,disney plus
Movie,Camp Rock 2: The Final Jam,2010,TV-G,"Coming of Age, Music, Musical","To save Camp Rock, Mitchie challenges Camp Star to a final jam.",disney plus
Movie,Can of Worms,1999,TV-PG,"Comedy, Coming of Age, Science Fiction",Aliens invade when a teen asks for intergalactic help to escape Earth.,disney plus
Movie,Candleshoe,1978,G,"Comedy, Coming of Age, Crime",A tomboy cons a nobleman to find a treasure trove of Spanish doubloons.,disney plus
Movie,Canine Caddy,1941,TV-G,"Animation, Comedy, Family",Pluto caddies for Mickey on the golf course. See details for advisory.,disney plus
Movie,Cars,2006,G,"Animation, Comedy, Family",Race car Lightning McQueen gets stranded in a small town on Route 66.,disney plus
Movie,Cars 2,2011,G,"Animation, Comedy, Family",Lightning McQueen and Mater go overseas to compete in the World Grand Prix.,disney plus
Movie,Cars 3,2017,G,"Animation, Comedy, Family",Lightning McQueen must face a new generation of racers.,disney plus
Movie,Cars Toon: Air Mater,2011,TV-G,"Animation, Comedy, Family",Mater’s decision to fly lands him at a big airshow.,disney plus
Movie,Cars Toon: Heavy Metal Mater,2010,TV-G,"Animation, Comedy, Family",Mater is a rock star in a heavy metal band.,disney plus
Movie,Cars Toon: Hiccups,2013,TV-G,"Animation, Comedy, Family",Lighting McQueen gets the hiccups.,disney plus
Movie,Cars Toon: Mater Private Eye,2010,TV-Y7,"Animation, Comedy, Family",Mater searches for clues on a major crime scene.,disney plus
Movie,Cars Toon: Mater the Greater,2008,TV-Y7,"Animation, Comedy, Family",Mater the Greater is a famous daredevil.,disney plus
Movie,Cars Toon: Monster Truck Mater,2010,TV-Y7,"Animation, Comedy, Family",Mater is a monster truck wrestler.,disney plus
Movie,Cars Toon: The Radiator Springs 500 1/2,2014,TV-Y7,"Animation, Comedy, Family",Baja racers descend on Radiator Springs.,disney plus
Movie,Casebusters,1986,TV-PG,"Drama, Family, Mystery",Sibling sleuths investigate a crime that threatens their family business.,disney plus
Movie,Cheetah,1989,G,"Action-Adventure, Animals & Nature, Family",American teens traverse the African desert to rescue their adopted cheetah.,disney plus
Movie,Chef Donald,1941,TV-G,"Animation, Comedy, Family",Donald is inspired by a radio program to make waffles. See details for advisory.,disney plus
Movie,Chicken Little,2005,G,"Animation, Comedy, Disaster","When disaster strikes, Chicken Little hatches a plan to save the day.",disney plus
TV Show,Chip 'n Dale's Rescue Rangers,1989,TV-G,"Action-Adventure, Animation, Comedy",Chip and Dale head a small group of animal characters who monitor the human and animal communities.,disney plus
Movie,Chip an' Dale,1947,TV-G,"Animation, Comedy, Family",Chip and Dale have to save their home from Donald Duck. See details for advisory.,disney plus
Movie,Cinderella,1950,G,"Animation, Family, Fantasy",Cinderella's enchanted evening must end when a spell is broken at midnight.,disney plus
Movie,Cinderella II: Dreams Come True,2002,G,"Animation, Fantasy, Kids","Three royal tales, featuring Cinderella and her life in the palace.",disney plus
Movie,Cinderella III: A Twist in Time,2007,G,"Animation, Fantasy, Kids",Cinderella's stepmother steals a magic wand and turns back time.,disney plus
Movie,Clock Cleaners,1937,TV-G,"Animation, Comedy, Family","Mickey, Donald and Goofy are trying to clean the clock of a tower. See details for advisory.",disney plus
Movie,Cloud 9,2014,TV-G,Sports,Two unlikely friends must overcome self-doubt to achieve their dreams.,disney plus
Movie,College Road Trip,2008,G,"Comedy, Coming of Age, Family",An overprotective dad joins his daughter in search of the perfect college.,disney plus
Movie,Confessions of a Teenage Drama Queen,2004,PG,"Comedy, Coming of Age",A dramatic teen moves…and finds her new school already has a drama queen.,disney plus
TV Show,Coop & Cami Ask The World (Shorts),2018,TV-G,"Comedy, Family, Game Show / Competition","Cooper and Cami Wrather co-host ""Would You Wrather.""",disney plus
Movie,Corn Chips,1951,TV-G,"Animation, Comedy, Family","Donald tricks Chip 'n Dale into shoveling snow, but the tables turn. See details for advisory.",disney plus
Movie,Cow Belles,2006,TV-G,"Comedy, Coming of Age",Two ultra-spoiled sisters are put to work in their father's dairy.,disney plus
TV Show,Crash & Bernstein,2012,TV-Y7,"Comedy, Fantasy, Kids","The only boy in a family, Wyatt creates a puppet brother.",disney plus
Movie,Dadnapped,2009,TV-G,"Comedy, Mystery",Melissa Morris is due for adventure when her novelist father goes missing.,disney plus
Movie,Darby O'Gill and the Little People,1959,G,"Family, Fantasy, Romance","Seeking a pot of gold, Darby O'Gill must match wits with a leprechaun. See details for advisory.",disney plus
TV Show,Darkwing Duck,1991,TV-Y7,"Action-Adventure, Animation, Kids","Darkwing Duck tells the adventures of the superhero, aided by his sidekick Launchpad McQuack.",disney plus
Movie,Davy Crockett and the River Pirates,1956,G,"Action-Adventure, Family, Historical",Davy Crockett encounters pirates en route to New Orleans. See details for advisory.,disney plus
Movie,"Davy Crockett, King of the Wild Frontier",1955,PG,"Action-Adventure, Family, Historical","Share Davy Crockett's legend, from the frontier to Congress to the Alamo. See details for advisory.",disney plus
Movie,Day & Night,2010,G,"Animation, Comedy, Family","When Day and Night meet each other, sparks fly!",disney plus
Movie,Decorating Disney: Holiday Magic,2017,TV-PG,"Documentary, Family, Reality",Disney Parks become the Merriest Places on Earth.,disney plus
Movie,Deep Blue,2005,G,"Animals & Nature, Documentary, Family",Join an epic underwater exploration into the secret lives of sea creatures.,disney plus
Movie,Descendants 2,2017,TV-G,"Coming of Age, Fantasy, Musical","Mal returns to the Isle of the Lost and confronts Uma, Ursula's daughter.",disney plus
Movie,Diary Of A Wimpy Kid,2010,PG,"Comedy, Family","Greg faces the scariest, most humiliating experience of any kid’s life: middle school.",disney plus
Movie,Dinosaur,2000,PG,"Action-Adventure, Animation, Family",An orphaned dinosaur joins others after a meteor destroys his home.,disney plus
Movie,Disney Adventures in Babysitting,2016,TV-G,"Action-Adventure, Comedy, Coming of Age",Rival babysitters join forces to search the city for a kid who’s snuck out.,disney plus
Movie,Disney Avalon High,2010,TV-G,"Coming of Age, Fantasy",Allie is convinced that her new high school is a contemporary Camelot.,disney plus
Movie,Disney Bad Hair Day,2015,TV-G,"Buddy, Comedy, Coming of Age",Monica's prom day starts with bad hair…but ends with a great adventure.,disney plus
TV Show,Disney Bizaardvark,2015,TV-PG,"Buddy, Comedy, Family",Paige and Frankie produce an online comedy channel.,disney plus
Movie,Disney Den Brother,2010,TV-G,"Comedy, Coming of Age",A hockey star hangs up his skates and becomes a substitute scoutmaster.,disney plus
Movie,Disney Descendants,2015,TV-G,"Coming of Age, Fantasy, Musical",The kids of Disney villains are given a shot at redemption at Auradon Prep.,disney plus
TV Show,Disney Descendants Wicked World (Shorts),2015,TV-G,"Animation, Coming of Age, Fantasy",Descendants continues with new animated shorts!,disney plus
TV Show,Disney DuckTales (Shorts),2016,TV-Y7,"Action-Adventure, Animation, Comedy",The McDuck family welcomes you to Duckburg!,disney plus
TV Show,Disney Evermoor,2017,TV-PG,Series,Tara Crossley moves to Evermoor and realizes the English countryside is not as sleepy as it seems.,disney plus
TV Show,Disney Family Sundays,2019,TV-G,"Anthology, Family, Lifestyle",Amber Kemp-Gerstel shares her love of crafting in a series of Disney-themed DIY projects.,disney plus
TV Show,Disney Fast Layne,2018,TV-G,"Action-Adventure, Animation, Comedy",Twelve-year-old Layne Reed discovers a talking car.,disney plus
Movie,Disney Girl vs. Monster,2012,TV-PG,"Action-Adventure, Comedy, Fantasy",The daughter of two monster-hunters must take on a monster of her own.,disney plus
TV Show,Disney Gravity Falls,2011,TV-Y7,"Action-Adventure, Animation, Comedy",Dipper and Mabel spend the summer with Grunkle Stan.,disney plus
TV Show,Disney Gravity Falls (Shorts),2012,TV-G,"Animation, Anthology, Comedy",Twins Dipper and Mabel enter the mysterious town of Gravity Falls for the summer.,disney plus
TV Show,Disney Jake and the Never Land Pirates,2010,TV-Y,"Action-Adventure, Animation, Fantasy",Jake sails for a treasure hunt against Captain Hook.,disney plus
TV Show,Disney JONAS,2008,TV-G,"Comedy, Family, Kids","JONAS is the hottest rock band on the planet! Band members Nick, Kevin, and Joe are superstar idols.",disney plus
TV Show,Disney Junior Music Nursery Rhymes,2017,TV-Y,"Animation, Kids, Musical",Nursery Rhymes re-imagined with Disney Junior!,disney plus
TV Show,Disney K.C. Undercover,2014,TV-Y7,"Action-Adventure, Comedy, Kids",K.C. joins her spy family as its newest secret agent.,disney plus
TV Show,Disney Lab Rats: Elite Force,2015,TV-Y7,"Action-Adventure, Comedy, Coming of Age",The Lab Rats join forces with the Mighty Med team.,disney plus
TV Show,Disney Legend of the Three Caballeros,2017,TV-G,"Action-Adventure, Animation, Comedy","Donald, Jose and Panchito inherit a magical atlas and travel the world battling mythical monsters.",disney plus
TV Show,Disney Mickey Mouse Clubhouse,2005,TV-Y,"Animation, Kids",Mickey leads kids on an interactive adventure of learning.,disney plus
TV Show,Disney Milo Murphy's Law,2016,TV-Y7,"Action-Adventure, Animation, Comedy","Around Milo, anything that can go wrong, will.",disney plus
TV Show,Disney Minnie's Bow-Toons (Shorts),2011,TV-Y,"Animation, Kids",Minnie Mouse teams up with Daisy to open up Minnie’s Bow-tique.,disney plus
TV Show,Disney Stuck In The Middle,2015,TV-PG,"Comedy, Coming of Age, Family",Harley is stuck in the middle of a family with 7 kids!,disney plus
TV Show,Disney Take Two With Phineas And Ferb (Shorts),2010,TV-G,"Animation, Kids, Parody",Real-life celebrities are interviewed by Phineas and Ferb.,disney plus
TV Show,Disney Tangled: The Series - Short Cuts,2016,TV-Y7,"Action-Adventure, Animation, Comedy",Get to know the colorful residents of Corona.,disney plus
Movie,Disney Under The Sea: A Descendants Short Story,2018,TV-G,"Fantasy, Musical, Thriller",Mal emerges from the forest where she meets Dizzy.,disney plus
TV Show,Disney's Adventures Of The Gummi Bears,1985,TV-Y7,"Action-Adventure, Animation, Fantasy",The magical Gummi Bears discover their rich history.,disney plus
TV Show,Disney's Doug,1996,TV-Y7,"Animation, Comedy, Coming of Age","Doug uses his imagination to navigate through tests of friendship, love, school, and growing up.",disney plus
Movie,Disney's Fairy Tale Weddings,2017,TV-PG,"Family, Lifestyle, Reality",A look at the magical weddings at Disney Destinations.,disney plus
Movie,Disney's Fairy Tale Weddings: Holiday Magic,2017,TV-PG,"Family, Lifestyle, Reality",Holiday Disney weddings and proposals.,disney plus
TV Show,Disney's Hercules: The Animated Series,1998,TV-Y7,"Action-Adventure, Animation, Comedy",Follow Herc's many labors during the years he spent training on how to be a hero.,disney plus
TV Show,Disney's Kim Possible,2001,TV-G,"Action-Adventure, Animation, Comedy","Kim Possible is a high school girl who, in her spare time, saves the world from evil villains.",disney plus
TV Show,Disney's Little Einsteins,2005,TV-Y,"Action-Adventure, Animation, Kids",This innovative new series provides preschoolers with new ways to hear and see music and art.,disney plus
TV Show,Disney's Mighty Ducks,1996,TV-Y7,"Action-Adventure, Animation, Comedy",Hockey-loving alien ducks are stranded on Earth and must protect it from the evil Dragaunus.,disney plus
TV Show,Disney's Recess,1997,TV-Y7,"Animation, Comedy, Kids",A portrayal of life at Third Street Elementary School.,disney plus
TV Show,Disney's The Emperor's New School,2005,TV-G,"Animation, Comedy, Coming of Age","Disney's The Emperor's New School is a unique comedy about Kuzco, a self-centered and spoiled teen.",disney plus
Movie,Disney's The Kid,2000,PG,"Comedy, Drama, Family",A man's life is upended when he meets an 8-year-old version of himself.,disney plus
TV Show,Disney's The Little Mermaid (Series),1992,TV-Y7,"Action-Adventure, Animation, Fantasy","Follow Ariel's adventures as a mermaid living under the sea with her father, King Triton.",disney plus
Movie,Disneyland Around the Seasons (Walt Disney's Wonderful World of Color: 1961-69),1966,TV-PG,"Documentary, Family, Variety",Walt Disney talks about Disneyland in 1966. See details for advisory.,disney plus
Movie,Disneynature African Cats,2011,G,"Animals & Nature, Documentary, Family",Come face-to-face with the wildly majestic African lions of the savanna.,disney plus
Movie,Disneynature Bears,2014,G,"Animals & Nature, Documentary, Family",A mother bear teaches her two impressionable cubs important life lessons.,disney plus
Movie,Disneynature Born in China,2017,G,"Animals & Nature, Documentary, Family",Embrace the beauty of China's vast terrain – and the life that inhabits it.,disney plus
Movie,Disneynature Chimpanzee,2012,G,"Animals & Nature, Documentary, Family",Meet a remarkable young chimpanzee who sees his world as his playground.,disney plus
Movie,Disneynature Crimson Wing,2008,G,"Animals & Nature, Documentary, Family",A million flamingos struggle to survive in the remote Tanzanian wilderness.,disney plus
Movie,Disneynature Monkey Kingdom,2015,G,"Animals & Nature, Documentary, Family","Forced from their home among ancient ruins, a mother monkey must lead her son to safety.",disney plus
Movie,Disneynature Wings of Life,2011,G,"Animals & Nature, Documentary, Family","An intimate look at butterflies, hummingbirds, bees, bats and flowers.",disney plus
TV Show,Dog Whisperer with Cesar Millan,2004,TV-G,"Animals & Nature, Docuseries, Family",World-renowned dog expert Cesar Millan helps dogs and their owners overcome behavior issues.,disney plus
Movie,Don't Look Under the Bed,1999,TV-PG,"Coming of Age, Fantasy",Teen Frances McCausland is framed for the Boogeyman's mischievous pranks.,disney plus
Movie,Donald's Golf Game,1938,TV-G,"Animation, Comedy, Family",Donald tries to impress his nephews at golfing. See details for advisory.,disney plus
Movie,Donald's Tire Trouble,1943,TV-G,"Animation, Comedy, Family",Donald is frustrated in his attempts to fix a flat tire. See details for advisory.,disney plus
Movie,Double Teamed,2002,TV-G,"Biographical, Sports",The WNBA's Burge twins inspire this film about sisterhood and teamwork.,disney plus
Movie,Doug's 1st Movie,1999,G,"Animation, Comedy, Family","Doug and his friends discover the ""monster"" of Lucky Duck Lake.",disney plus
TV Show,"Dr. T, Lone Star Vet",2019,TV-PG,"Docuseries, Family, Medical","Dr. T, Lone Star Vet follows Dr. T as she faces the most compelling cases of her career.",disney plus
Movie,DuckTales The Movie: Treasure of the Lost Lamp,1990,G,"Action-Adventure, Animation, Comedy",Scrooge and his nephews search for the long-lost loot of Collie Baba.,disney plus
Movie,Dug's Special Mission,2009,TV-PG,"Animation, Comedy, Family",Dug finds where he belongs is not where he's been looking.,disney plus
Movie,Dumbo,2019,PG,"Action-Adventure, Family, Fantasy",A flying elephant helps show that differences and family can be cherished.,disney plus
Movie,Early to Bed,1941,TV-G,"Animation, Comedy, Family",A ticking alarm clock keeps Donald awake. See details for advisory.,disney plus
Movie,Earth Live,2017,TV-PG,"Animals & Nature, Documentary, Family","Earth Live gives viewers a unique, live view of wildlife around the world.",disney plus
Movie,Easter Island Unsolved,2018,TV-14,"Documentary, Historical","Easter Island is a riddle, and its mysterious past may hold clues to its future.",disney plus
Movie,Eddie's Million Dollar Cook-off,2003,TV-G,"Comedy, Coming of Age, Sports",A baseball prodigy swings for the culinary fences in a cooking competition.,disney plus
Movie,Eight Below,2006,PG,"Action-Adventure, Animals & Nature, Drama",An Antarctic storm threatens eight sled dogs alone in the wilderness.,disney plus
TV Show,Elena of Avalor (Shorts),2017,TV-Y,"Action-Adventure, Animation, Fantasy",Elena travels to Vallestrella and trains with Zuzo!,disney plus
Movie,Emil and the Detectives,1964,TV-PG,"Action-Adventure, Crime, Family","When a young boy's money is stolen, the search is on for the thief.",disney plus
Movie,Empire of Dreams: The Story of the Star Wars Trilogy,2004,TV-14,Documentary,"Explore the creation of Star Wars, a saga few thought could ever be made.",disney plus
TV Show,Encore!,2019,TV-14,"Music, Reality",Kristen Bell reunites former high school classmates to re-stage musicals they performed in the past.,disney plus
Movie,Escape to Witch Mountain,1975,G,"Action-Adventure, Family, Fantasy",Two orphans with supernatural powers discover their mysterious past.,disney plus
TV Show,Even Stevens,2000,TV-PG,"Comedy, Coming of Age, Kids","Louis, a seventh-grade misfit, struggles to fit in at school and in his seemingly perfect family.",disney plus
Movie,Expedition Mars: Spirit & Opportunity,2019,TV-PG,Documentary,"Expedition Mars explores the epic adventures of the Mars rovers, Spirit and Opportunity.",disney plus
Movie,Fantasia,1940,G,"Animation, Family, Fantasy",Walt Disney's timeless masterpiece is an extravaganza of sight and sound. See details for advisory.,disney plus
Movie,Fantasia 2000,2000,G,"Animation, Family, Fantasy",A modern update of the Disney classic with new music and animation.,disney plus
TV Show,Fantastic Four (Series),1994,TV-Y7,"Action-Adventure, Animation, Kids","Reed Richards, Sue and Johnny Storm and pilot Ben Grimm are transformed into the Fantastic Four.",disney plus
TV Show,Fantastic Four: World's Greatest Heroes,2007,TV-Y7,"Action-Adventure, Animation, Kids","Watch Mr. Fantastic, Invisible Woman, Human Torch, and Thing as they battle their greatest foes.",disney plus
Movie,Ferdinand the Bull,1938,TV-G,"Animation, Comedy, Family",Ferdinand only wants to stop and smell the flowers. See details for advisory.,disney plus
Movie,Finding Dory,2016,PG,"Action-Adventure, Animation, Comedy",Dory sets off on a life-changing adventure to find her family.,disney plus
Movie,Finding Nemo,2003,G,"Action-Adventure, Animation, Comedy",Marlin makes an epic journey to bring Nemo home when he's taken by divers.,disney plus
Movie,First Kid,1996,PG,"Buddy, Comedy, Coming of Age",A wisecracking Secret Service agent is assigned to the President's son.,disney plus
Movie,Flight of the Navigator,1986,PG,"Action-Adventure, Science Fiction",A boy mysteriously gains knowledge of the farthest reaches of the universe.,disney plus
Movie,Float,2019,PG,"Animation, Family, Fantasy","A father hides his unusual son, and then must face the consequences.",disney plus
Movie,Flowers and Trees,1932,TV-Y7,"Animation, Family, Kids","It's spring, and the flowers, mushrooms, and trees come to life. See details for advisory.",disney plus
Movie,Flubber,1997,PG,"Comedy, Family, Science Fiction",Phillip hopes his super-bouncy goo will save his college and his wedding.,disney plus
Movie,Food for Feudin',1950,TV-G,"Animation, Comedy, Family",The chipmunks and Pluto battle over a supply of nuts. See details for advisory.,disney plus
Movie,For the Birds,2001,G,"Animation, Comedy, Family",Small birds mock a big bird who tries to sit with them,disney plus
Movie,Forky Asks a Question: What is Money?,2019,TV-G,"Animation, Comedy, Family",Hamm attempts to give Forky a lesson on how the US monetary system works.,disney plus
Movie,Frank and Ollie,1995,PG,"Biographical, Documentary",Share the story of famed Disney animators Frank Thomas and Ollie Johnston.,disney plus
Movie,Frankenweenie (Short),1984,PG,"Drama, Parody, Science Fiction",Victor harnesses the power of science to bring his dog Sparky back to life.,disney plus
Movie,Freaky Friday,2003,PG,"Comedy, Family, Fantasy",A mother and daughter see things a bit differently when they switch bodies.,disney plus
Movie,Free Solo,2018,TV-PG,"Action-Adventure, Documentary, Sports",Free solo climber Alex Honnold prepares to scale El Capitan in Yosemite without a rope.,disney plus
Movie,Frenemies,2012,TV-G,"Anthology, Comedy, Coming of Age",Three very different sets of friends experience growing pains.,disney plus
Movie,Frozen,2013,PG,"Animation, Family, Fantasy","Anna and Kristoff brave the elements, racing to save Elsa and the kingdom.",disney plus
